L2,user4,28/06/2025 01:13:14,talgs3hj4smapbmvhbacqqj9d8,0/2
L2,user1,28/06/2025 01:15:10,talgs3hj4smapbmvhbacqqj9d8,1/2
L2,user2,28/06/2025 01:39:47,talgs3hj4smapbmvhbacqqj9d8,2/10
L2,user2,28/06/2025 01:41:32,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 01:45:07,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user3,28/06/2025 01:47:34,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user1,28/06/2025 01:50:43,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user1,28/06/2025 02:03:51,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user1,28/06/2025 02:08:49,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user1,28/06/2025 02:14:36,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user1,28/06/2025 02:17:02,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:25:09,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:25:19,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:25:37,talgs3hj4smapbmvhbacqqj9d8,1/10
L2,user2,28/06/2025 02:26:33,talgs3hj4smapbmvhbacqqj9d8,2/10
L2,user2,28/06/2025 02:32:37,talgs3hj4smapbmvhbacqqj9d8,2/10
L2,user2,28/06/2025 02:51:31,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:51:41,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:51:44,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:51:47,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:54:04,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:54:51,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:55:14,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:55:36,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:55:42,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 02:55:49,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 03:01:57,talgs3hj4smapbmvhbacqqj9d8,0/10
L2,user2,28/06/2025 05:59:57,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:05:11,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:06:08,t317s5mkn3fdqnk98mhs22q2la,0/10
L2,user2,28/06/2025 06:12:30,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:14:46,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:14:51,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:15:27,t317s5mkn3fdqnk98mhs22q2la,0/4
L2,user2,28/06/2025 06:15:34,t317s5mkn3fdqnk98mhs22q2la,0/4
